experiment_setting,user_id,data_label,non_one_count,task_name
sensor-high-L1-1,gaoqingshuang,4,1,sensor
sensor-high-L1-1,jianglu,3,4,sensor
sensor-high-L1-1,lihongzu,4,1,sensor
sensor-high-L1-1,yuanpeijun,3,3,sensor
sensor-high-L2-0,anpeirong,5,0,sensor
sensor-high-L2-0,baidexiang,4,0,sensor
sensor-high-L2-0,gaoqingshuang,5,2,sensor
sensor-high-L2-0,jianglu,5,0,sensor
sensor-high-L2-0,lihongzu,5,0,sensor
sensor-high-L2-0,yuanpeijun,5,0,sensor
sensor-high-L2-1,anpeirong,5,0,sensor
sensor-high-L2-1,baidexiang,4,0,sensor
sensor-high-L2-1,gaoqingshuang,5,0,sensor
sensor-high-L2-1,jianglu,5,0,sensor
sensor-high-L2-1,lihongzu,5,0,sensor
sensor-high-L2-1,yuanpeijun,5,0,sensor
sensor-low-L0-0,anpeirong,2,7,sensor
sensor-low-L0-0,baidexiang,2,8,sensor
sensor-low-L0-0,gaoqingshuang,4,4,sensor
sensor-low-L0-0,jianglu,2,3,sensor
sensor-low-L0-0,lihongzu,3,6,sensor
sensor-low-L0-0,yuanpeijun,2,4,sensor
sensor-low-L0-1,anpeirong,1,5,sensor
sensor-low-L0-1,baidexiang,2,6,sensor
sensor-low-L0-1,gaoqingshuang,4,5,sensor
sensor-low-L0-1,jianglu,1,8,sensor
sensor-low-L0-1,lihongzu,3,6,sensor
sensor-low-L0-1,yuanpeijun,2,3,sensor
sensor-low-L1-0,anpeirong,4,1,sensor
sensor-low-L1-0,baidexiang,3,2,sensor
sensor-low-L1-0,gaoqingshuang,4,1,sensor
sensor-low-L1-0,jianglu,4,1,sensor
sensor-low-L1-0,lihongzu,5,0,sensor
sensor-low-L1-0,yuanpeijun,3,3,sensor
sensor-low-L1-1,anpeirong,3,1,sensor
sensor-low-L1-1,baidexiang,2,4,sensor
sensor-low-L1-1,gaoqingshuang,3,1,sensor
sensor-low-L1-1,jianglu,4,4,sensor
sensor-low-L1-1,lihongzu,4,3,sensor
sensor-low-L1-1,yuanpeijun,3,0,sensor
sensor-low-L2-0,anpeirong,5,0,sensor
sensor-low-L2-0,baidexiang,4,0,sensor
sensor-low-L2-0,gaoqingshuang,5,0,sensor
sensor-low-L2-0,jianglu,5,0,sensor
sensor-low-L2-0,lihongzu,5,0,sensor
sensor-low-L2-0,yuanpeijun,5,0,sensor
sensor-low-L2-1,anpeirong,5,0,sensor
sensor-low-L2-1,baidexiang,4,0,sensor
sensor-low-L2-1,gaoqingshuang,4,0,sensor
sensor-low-L2-1,jianglu,5,0,sensor
sensor-low-L2-1,lihongzu,5,0,sensor
sensor-low-L2-1,yuanpeijun,5,0,sensor
threat-high-L0-0,anpeirong,2,9,threat
threat-high-L0-0,baidexiang,2,5,threat
threat-high-L0-0,gaoqingshuang,3,10,threat
threat-high-L0-0,jianglu,2,6,threat
threat-high-L0-0,lihongzu,2,5,threat
threat-high-L0-0,yuanpeijun,2,4,threat
threat-high-L0-1,anpeirong,2,8,threat
threat-high-L0-1,baidexiang,2,8,threat
threat-high-L0-1,gaoqingshuang,2,10,threat
threat-high-L0-1,jianglu,2,7,threat
threat-high-L0-1,lihongzu,3,6,threat
threat-high-L0-1,yuanpeijun,2,6,threat
threat-high-L1-0,anpeirong,4,0,threat
threat-high-L1-0,baidexiang,4,2,threat
threat-high-L1-0,gaoqingshuang,4,2,threat
threat-high-L1-0,jianglu,3,3,threat
threat-high-L1-0,lihongzu,4,1,threat
threat-high-L1-0,yuanpeijun,4,0,threat
threat-high-L1-1,anpeirong,3,0,threat
threat-high-L1-1,baidexiang,2,2,threat
threat-high-L1-1,gaoqingshuang,3,7,threat
threat-high-L1-1,jianglu,4,2,threat
threat-high-L1-1,lihongzu,4,1,threat
threat-high-L1-1,yuanpeijun,3,3,threat
threat-high-L2-0,anpeirong,4,1,threat
threat-high-L2-0,baidexiang,4,0,threat
threat-high-L2-0,gaoqingshuang,5,0,threat
threat-high-L2-0,jianglu,5,0,threat
threat-high-L2-0,lihongzu,5,0,threat
threat-high-L2-0,yuanpeijun,5,0,threat
threat-high-L2-1,anpeirong,5,0,threat
threat-high-L2-1,baidexiang,4,1,threat
threat-high-L2-1,gaoqingshuang,5,0,threat
threat-high-L2-1,jianglu,5,1,threat
threat-high-L2-1,lihongzu,5,1,threat
threat-high-L2-1,yuanpeijun,5,0,threat
threat-low-L0-0,anpeirong,3,8,threat
threat-low-L0-0,baidexiang,2,6,threat
threat-low-L0-0,gaoqingshuang,2,7,threat
threat-low-L0-0,jianglu,2,4,threat
threat-low-L0-0,lihongzu,3,5,threat
threat-low-L0-0,yuanpeijun,2,4,threat
threat-low-L0-1,anpeirong,2,8,threat
threat-low-L0-1,baidexiang,4,4,threat
threat-low-L0-1,gaoqingshuang,2,7,threat
threat-low-L0-1,jianglu,3,7,threat
threat-low-L0-1,lihongzu,4,6,threat
threat-low-L0-1,yuanpeijun,2,5,threat
threat-low-L1-0,anpeirong,4,1,threat
threat-low-L1-0,baidexiang,2,5,threat
threat-low-L1-0,gaoqingshuang,5,1,threat
threat-low-L1-0,jianglu,4,2,threat
threat-low-L1-0,lihongzu,4,2,threat
threat-low-L1-0,yuanpeijun,3,3,threat
threat-low-L1-1,anpeirong,3,1,threat
threat-low-L1-1,baidexiang,3,2,threat
threat-low-L1-1,gaoqingshuang,5,0,threat
threat-low-L1-1,jianglu,4,3,threat
threat-low-L1-1,lihongzu,4,2,threat
threat-low-L1-1,yuanpeijun,4,3,threat
threat-low-L2-0,anpeirong,5,0,threat
threat-low-L2-0,baidexiang,4,0,threat
threat-low-L2-0,gaoqingshuang,5,0,threat
threat-low-L2-0,jianglu,5,0,threat
threat-low-L2-0,lihongzu,5,0,threat
threat-low-L2-0,yuanpeijun,5,0,threat
threat-low-L2-1,anpeirong,5,0,threat
threat-low-L2-1,baidexiang,4,0,threat
threat-low-L2-1,gaoqingshuang,5,0,threat
threat-low-L2-1,jianglu,5,0,threat
threat-low-L2-1,lihongzu,5,0,threat
threat-low-L2-1,yuanpeijun,5,0,threat
weapon-high-L0-0,anpeirong,1,8,weapon
weapon-high-L0-0,baidexiang,2,0,weapon
weapon-high-L0-0,gaoqingshuang,3,1,weapon
weapon-high-L0-0,jianglu,2,9,weapon
weapon-high-L0-0,lihongzu,2,0,weapon
weapon-high-L0-0,yuanpeijun,1,8,weapon
weapon-high-L0-1,anpeirong,1,2,weapon
weapon-high-L0-1,baidexiang,2,0,weapon
weapon-high-L0-1,gaoqingshuang,1,2,weapon
weapon-high-L0-1,jianglu,1,8,weapon
weapon-high-L0-1,lihongzu,2,0,weapon
weapon-high-L0-1,yuanpeijun,1,6,weapon
weapon-high-L1-0,anpeirong,2,5,weapon
weapon-high-L1-0,baidexiang,2,0,weapon
weapon-high-L1-0,gaoqingshuang,4,0,weapon
weapon-high-L1-0,jianglu,4,9,weapon
weapon-high-L1-0,lihongzu,3,0,weapon
weapon-high-L1-0,yuanpeijun,3,8,weapon
weapon-high-L1-1,anpeirong,3,6,weapon
weapon-high-L1-1,baidexiang,2,0,weapon
weapon-high-L1-1,gaoqingshuang,5,0,weapon
weapon-high-L1-1,jianglu,4,7,weapon
weapon-high-L1-1,lihongzu,3,0,weapon
weapon-high-L1-1,yuanpeijun,3,5,weapon
weapon-high-L2-0,anpeirong,4,6,weapon
weapon-high-L2-0,baidexiang,3,0,weapon
weapon-high-L2-0,gaoqingshuang,5,0,weapon
weapon-high-L2-0,jianglu,5,1,weapon
weapon-high-L2-0,lihongzu,5,0,weapon
weapon-high-L2-0,yuanpeijun,5,0,weapon
weapon-high-L2-1,anpeirong,4,1,weapon
weapon-high-L2-1,baidexiang,4,0,weapon
weapon-high-L2-1,gaoqingshuang,5,0,weapon
weapon-high-L2-1,jianglu,5,0,weapon
weapon-high-L2-1,lihongzu,4,0,weapon
weapon-high-L2-1,yuanpeijun,5,0,weapon
weapon-low-L0-0,anpeirong,2,7,weapon
weapon-low-L0-0,baidexiang,2,0,weapon
weapon-low-L0-0,gaoqingshuang,5,0,weapon
weapon-low-L0-0,jianglu,3,6,weapon
weapon-low-L0-0,lihongzu,3,0,weapon
weapon-low-L0-0,yuanpeijun,4,1,weapon
weapon-low-L0-1,anpeirong,1,10,weapon
weapon-low-L0-1,baidexiang,2,0,weapon
weapon-low-L0-1,gaoqingshuang,5,0,weapon
weapon-low-L0-1,jianglu,2,7,weapon
weapon-low-L0-1,lihongzu,3,0,weapon
weapon-low-L0-1,yuanpeijun,4,0,weapon
weapon-low-L1-0,anpeirong,3,8,weapon
weapon-low-L1-0,baidexiang,1,0,weapon
weapon-low-L1-0,gaoqingshuang,4,0,weapon
weapon-low-L1-0,jianglu,4,9,weapon
weapon-low-L1-0,lihongzu,3,0,weapon
weapon-low-L1-0,yuanpeijun,4,0,weapon
weapon-low-L1-1,anpeirong,3,8,weapon
weapon-low-L1-1,baidexiang,2,0,weapon
weapon-low-L1-1,gaoqingshuang,4,0,weapon
weapon-low-L1-1,jianglu,4,8,weapon
weapon-low-L1-1,lihongzu,3,0,weapon
weapon-low-L1-1,yuanpeijun,4,0,weapon
weapon-low-L2-0,anpeirong,4,3,weapon
weapon-low-L2-0,baidexiang,3,0,weapon
weapon-low-L2-0,gaoqingshuang,5,0,weapon
weapon-low-L2-0,jianglu,5,0,weapon
weapon-low-L2-0,lihongzu,5,0,weapon
weapon-low-L2-0,yuanpeijun,5,0,weapon
weapon-low-L2-1,anpeirong,4,5,weapon
weapon-low-L2-1,baidexiang,3,0,weapon
weapon-low-L2-1,gaoqingshuang,5,0,weapon
weapon-low-L2-1,jianglu,5,0,weapon
weapon-low-L2-1,lihongzu,5,0,weapon
weapon-low-L2-1,yuanpeijun,5,0,weapon
