task_name,user_id,experiment_setting,data_label,accept_ai_advice
sensor,baidexiang,high-L2-0,4,10
sensor,baidexiang,high-L2-1,4,10
sensor,baidexiang,low-L0-0,2,2
sensor,baidexiang,low-L0-1,2,4
sensor,baidexiang,low-L1-0,3,8
sensor,baidexiang,low-L1-1,2,6
sensor,baidexiang,low-L2-0,4,10
sensor,baidexiang,low-L2-1,4,10
sensor,gaoqingshuang,high-L0-0,2,6
sensor,gaoqingshuang,high-L0-1,2,4
sensor,gaoqingshuang,high-L1-0,4,7
sensor,gaoqingshuang,high-L1-1,4,9
sensor,gaoqingshuang,high-L2-0,5,8
sensor,gaoqingshuang,high-L2-1,5,10
sensor,gaoqingshuang,low-L0-0,4,6
sensor,gaoqingshuang,low-L0-1,4,5
sensor,gaoqingshuang,low-L1-0,4,9
sensor,gaoqingshuang,low-L1-1,3,9
sensor,gaoqingshuang,low-L2-0,5,10
sensor,gaoqingshuang,low-L2-1,4,10
sensor,jianglu,high-L0-0,1,3
sensor,jianglu,high-L0-1,2,5
sensor,jianglu,high-L1-0,4,9
sensor,jianglu,high-L1-1,3,6
sensor,jianglu,high-L2-0,5,10
sensor,jianglu,high-L2-1,5,10
sensor,jianglu,low-L0-0,2,7
sensor,jianglu,low-L0-1,1,2
sensor,jianglu,low-L1-0,4,9
sensor,jianglu,low-L1-1,4,6
sensor,jianglu,low-L2-0,5,10
sensor,jianglu,low-L2-1,5,10
sensor,lihongzu,high-L0-0,2,1
sensor,lihongzu,high-L0-1,3,5
sensor,lihongzu,high-L1-0,4,8
sensor,lihongzu,high-L1-1,4,9
sensor,lihongzu,high-L2-0,5,10
sensor,lihongzu,high-L2-1,5,10
sensor,lihongzu,low-L0-0,3,4
sensor,lihongzu,low-L0-1,3,4
sensor,lihongzu,low-L1-0,5,10
sensor,lihongzu,low-L1-1,4,7
sensor,lihongzu,low-L2-0,5,10
sensor,lihongzu,low-L2-1,5,10
sensor,yuanpeijun,high-L0-0,2,3
sensor,yuanpeijun,high-L0-1,2,6
sensor,yuanpeijun,high-L1-0,3,8
sensor,yuanpeijun,high-L1-1,3,7
sensor,yuanpeijun,high-L2-0,5,10
sensor,yuanpeijun,high-L2-1,5,10
sensor,yuanpeijun,low-L0-0,2,6
sensor,yuanpeijun,low-L0-1,2,7
sensor,yuanpeijun,low-L1-0,3,7
sensor,yuanpeijun,low-L1-1,3,10
sensor,yuanpeijun,low-L2-0,5,10
sensor,yuanpeijun,low-L2-1,5,10
threat,anpeirong,high-L0-0,2,1
threat,anpeirong,high-L0-1,2,3
threat,anpeirong,high-L1-0,4,10
threat,anpeirong,high-L1-1,3,10
threat,anpeirong,high-L2-0,4,9
threat,anpeirong,high-L2-1,5,10
threat,anpeirong,low-L0-0,3,2
threat,anpeirong,low-L0-1,2,3
threat,anpeirong,low-L1-0,4,9
threat,anpeirong,low-L1-1,3,9
threat,anpeirong,low-L2-0,5,10
threat,anpeirong,low-L2-1,5,10
threat,baidexiang,high-L0-0,2,5
threat,baidexiang,high-L0-1,2,2
threat,baidexiang,high-L1-0,4,9
threat,baidexiang,high-L1-1,2,8
threat,baidexiang,high-L2-0,4,10
threat,baidexiang,high-L2-1,4,9
threat,baidexiang,low-L0-0,2,4
threat,baidexiang,low-L0-1,4,6
threat,baidexiang,low-L1-0,2,5
threat,baidexiang,low-L1-1,3,8
threat,baidexiang,low-L2-0,4,10
threat,baidexiang,low-L2-1,4,10
threat,gaoqingshuang,high-L0-0,3,5
threat,gaoqingshuang,high-L0-1,2,3
threat,gaoqingshuang,high-L1-0,4,9
threat,gaoqingshuang,high-L1-1,3,7
threat,gaoqingshuang,high-L2-0,5,10
threat,gaoqingshuang,high-L2-1,5,10
threat,gaoqingshuang,low-L0-0,2,5
threat,gaoqingshuang,low-L0-1,2,7
threat,gaoqingshuang,low-L1-0,5,9
threat,gaoqingshuang,low-L1-1,5,10
threat,gaoqingshuang,low-L2-0,5,10
threat,gaoqingshuang,low-L2-1,5,10
threat,jianglu,high-L0-0,2,4
threat,jianglu,high-L0-1,2,3
threat,jianglu,high-L1-0,3,7
threat,jianglu,high-L1-1,4,9
threat,jianglu,high-L2-0,5,10
threat,jianglu,high-L2-1,5,9
threat,jianglu,low-L0-0,2,6
threat,jianglu,low-L0-1,3,3
threat,jianglu,low-L1-0,4,8
threat,jianglu,low-L1-1,4,8
threat,jianglu,low-L2-0,5,10
threat,jianglu,low-L2-1,5,10
threat,lihongzu,high-L0-0,2,5
threat,lihongzu,high-L0-1,3,4
threat,lihongzu,high-L1-0,4,9
threat,lihongzu,high-L1-1,4,9
threat,lihongzu,high-L2-0,5,10
threat,lihongzu,high-L2-1,5,10
threat,lihongzu,low-L0-0,3,5
threat,lihongzu,low-L0-1,4,6
threat,lihongzu,low-L1-0,4,9
threat,lihongzu,low-L1-1,4,8
threat,lihongzu,low-L2-0,5,10
threat,lihongzu,low-L2-1,5,10
threat,yuanpeijun,high-L0-0,2,6
threat,yuanpeijun,high-L0-1,2,4
threat,yuanpeijun,high-L1-0,4,10
threat,yuanpeijun,high-L1-1,3,7
threat,yuanpeijun,high-L2-0,5,10
threat,yuanpeijun,high-L2-1,5,10
threat,yuanpeijun,low-L0-0,2,6
threat,yuanpeijun,low-L0-1,2,5
threat,yuanpeijun,low-L1-0,3,7
threat,yuanpeijun,low-L1-1,4,7
threat,yuanpeijun,low-L2-0,5,10
threat,yuanpeijun,low-L2-1,5,10
weapon,anpeirong,high-L0-0,1,0
weapon,anpeirong,high-L0-1,1,0
weapon,anpeirong,high-L1-0,2,0
weapon,anpeirong,high-L1-1,3,0
weapon,anpeirong,high-L2-0,4,0
weapon,anpeirong,high-L2-1,4,0
weapon,anpeirong,low-L0-0,2,0
weapon,anpeirong,low-L0-1,1,0
weapon,anpeirong,low-L1-0,3,0
weapon,anpeirong,low-L1-1,3,0
weapon,anpeirong,low-L2-0,4,0
weapon,anpeirong,low-L2-1,4,0
weapon,baidexiang,high-L0-0,2,0
weapon,baidexiang,high-L0-1,2,0
weapon,baidexiang,high-L1-0,2,0
weapon,baidexiang,high-L1-1,2,0
weapon,baidexiang,high-L2-0,3,0
weapon,baidexiang,high-L2-1,4,0
weapon,baidexiang,low-L0-0,2,0
weapon,baidexiang,low-L0-1,2,0
weapon,baidexiang,low-L1-0,1,0
weapon,baidexiang,low-L1-1,2,0
weapon,baidexiang,low-L2-0,3,0
weapon,baidexiang,low-L2-1,3,1
weapon,gaoqingshuang,high-L0-0,3,0
weapon,gaoqingshuang,high-L0-1,1,0
weapon,gaoqingshuang,high-L1-0,4,0
weapon,gaoqingshuang,high-L1-1,5,0
weapon,gaoqingshuang,high-L2-0,5,0
weapon,gaoqingshuang,high-L2-1,5,0
weapon,gaoqingshuang,low-L0-0,5,0
weapon,gaoqingshuang,low-L0-1,5,0
weapon,gaoqingshuang,low-L1-0,4,0
weapon,gaoqingshuang,low-L1-1,4,0
weapon,gaoqingshuang,low-L2-0,5,0
weapon,gaoqingshuang,low-L2-1,5,0
weapon,jianglu,high-L0-0,2,0
weapon,jianglu,high-L0-1,1,0
weapon,jianglu,high-L1-0,4,0
weapon,jianglu,high-L1-1,4,0
weapon,jianglu,high-L2-0,5,0
weapon,jianglu,high-L2-1,5,0
weapon,jianglu,low-L0-0,3,0
weapon,jianglu,low-L0-1,2,0
weapon,jianglu,low-L1-0,4,0
weapon,jianglu,low-L1-1,4,0
weapon,jianglu,low-L2-0,5,0
weapon,jianglu,low-L2-1,5,0
weapon,lihongzu,high-L0-0,2,0
weapon,lihongzu,high-L0-1,2,0
weapon,lihongzu,high-L1-0,3,0
weapon,lihongzu,high-L1-1,3,0
weapon,lihongzu,high-L2-0,5,0
weapon,lihongzu,high-L2-1,4,0
weapon,lihongzu,low-L0-0,3,0
weapon,lihongzu,low-L0-1,3,0
weapon,lihongzu,low-L1-0,3,0
weapon,lihongzu,low-L1-1,3,0
weapon,lihongzu,low-L2-0,5,0
weapon,lihongzu,low-L2-1,5,0
weapon,yuanpeijun,high-L0-0,1,0
weapon,yuanpeijun,high-L0-1,1,0
weapon,yuanpeijun,high-L1-0,3,0
weapon,yuanpeijun,high-L1-1,3,0
weapon,yuanpeijun,high-L2-0,5,0
weapon,yuanpeijun,high-L2-1,5,0
weapon,yuanpeijun,low-L0-0,4,0
weapon,yuanpeijun,low-L0-1,4,0
weapon,yuanpeijun,low-L1-0,4,0
weapon,yuanpeijun,low-L1-1,4,0
weapon,yuanpeijun,low-L2-0,5,0
weapon,yuanpeijun,low-L2-1,5,0
